Years,Machine Learning and Probabilistic Reasoning,Neural Networks,Computer Vision,Search and Optimization,NLP and Knowledge Representation,Fuzzy Systems,Planning and Decision Making,Total
1998,4319,4680,3460,1396,2087,2362,771,19075
1999,4826,5569,3868,1597,2142,2605,872,21479
2000,4636,5383,4087,1765,2424,2471,1096,21862
2001,5191,5659,4430,2099,2597,2923,1492,24391
2002,6189,6320,5366,2427,3018,2894,1833,28047
2003,7325,6819,6186,2885,3780,3344,2531,32870
2004,10256,8590,8132,3711,4976,4189,3239,43093
2005,11743,9520,9274,4094,5715,4161,3911,48418
2006,13068,10487,10670,4847,6361,4587,3901,53921
2007,15453,11594,12849,6039,6717,5144,4162,61958
2008,19786,14454,16942,7598,8381,6717,4436,78314
2009,16699,14270,14041,7193,7776,7160,4186,71325
2010,17122,14302,14298,7595,8117,7002,3787,72223
2011,16962,13853,14193,7379,7124,6162,4454,70127
2012,17657,13601,13451,7026,7302,5310,3293,67640
2013,18243,14325,13629,7255,6635,5330,3388,68805
2014,21263,15851,15877,7423,7816,5210,3278,76718
2015,25289,17683,18854,8195,9339,5597,3825,88782
2016,28785,22301,21330,8816,9810,6390,3881,101313
2017,34461,29584,25006,9333,9099,6290,3892,117665
